SOURCE_DRUG	UNIPROT	P_SCORE	DIRECTIONALITY	PUBCHEM_ID	DRUGBANK_ID	DRUGBANK_GROUP	ATCCODES
Prednisolone	SL9A4_HUMAN	-1.56816	Inhibitory	CID5755	DB00860	approved	D10AA02|S03BA02|D07AA03|D07XA02|A07EA01|D07AA01|C05AA04|H02AB04|S02BA03|D07AC14|S01CB02|R01AD02|H02AB06|S01BA04
Thalidomide	NELFD_HUMAN	49.30556929	Stimulatory	CID5426	DB01041	approved|investigational|withdrawn	L04AX02
Genistein	CP4F2_HUMAN	9.05965683	Stimulatory	CID5280961	DB01645	investigational	
Fludrocortisone	CLIP1_HUMAN	-5.39400373	Inhibitory	CID31378	DB00687	approved	H02AA02
Quercetin	MAPK3_HUMAN	1.59984	Stimulatory	CID5280343	DB04216	experimental	
Sulindac sulfide	MAPK3_HUMAN	-1.59984	Inhibitory	CID5352624			
Exisulind	GCC1_HUMAN	-13.27081938	Inhibitory	CID5472495			
Fulvestrant	NOS3_HUMAN	-13.41091252	Inhibitory	CID104741	DB00947	approved|investigational	L02BA03
Staurosporine	GSK3A_HUMAN	7.44563422	Stimulatory	CID44259			
NU-1025	SPS2_HUMAN	0.2822688	Stimulatory	CID63306	DB02690	experimental	
Acetylsalicylic Acid	VEGFA_HUMAN	-21.56951889	Inhibitory	CID2244	DB00945	approved	B01AC06|A01AD05|N02BA01
Flufenamic Acid	CFTR_HUMAN	-64.33246835	Inhibitory	CID3371	DB02266	experimental	M01AG03
N-Phenylanthranilic Acid	PYY_HUMAN	-8.88037117	Inhibitory	CID4386			
Monorden	LAP2_HUMAN	-13.0667761	Inhibitory	CID5311380			
Sirolimus	ACTN4_HUMAN	22.13603307	Stimulatory	CID5284616			
arachidonyltrifluoromethane	PA24A_HUMAN	-17.88579522	Inhibitory	CID5280436			
Trichostatin A	B3GT4_HUMAN	0.69776179	Stimulatory	CID444732	DB04297	experimental	
Diclofenac	CLIP1_HUMAN	5.39400373	Stimulatory	CID3033	DB00586	approved	M02AA15|D11AX18|S01BC03|M01AB05
Mercaptopurine	BCL2_HUMAN	-94.67015348	Inhibitory	CID667490	DB01033	approved	L01BB02
Nifedipine	FGFR1_HUMAN	-36.17091363	Inhibitory	CID4485	DB01115	approved	C08CA05
Nitrendipine	GRAB_HUMAN	-15.63957056	Inhibitory	CID4507	DB01054	approved	C08CA08
Felodipine	KCNE3_HUMAN	-7.55975501	Inhibitory	CID3333	DB01023	approved|investigational	C08CA02
Azathioprine	PITX1_HUMAN	-6.60391903	Inhibitory	CID2265	DB00993	approved	L04AX01
Sodium phenylbutyrate	AMPN_HUMAN	-32.19888281	Inhibitory	CID5258			
NOVOBIOCIN	S22A9_HUMAN	-2.53472	Inhibitory	CID54675769	DB01051	approved	
Fasudil	EDN1_HUMAN	-11.72754588	Inhibitory	CID3547	DB08162	experimental	
2-Deoxy-D-Glucose	IL1B_HUMAN	-14.21493879	Inhibitory	CID40			
Imatinib	SERC3_HUMAN	-5.31139775	Inhibitory	CID5291	DB00619	approved	L01XE01
Pirinixic acid	CEAM7_HUMAN	-2.02294022	Inhibitory	CID5694			
Rosiglitazone	SC31A_HUMAN	6.03230573	Stimulatory	CID77999	DB00412	approved|investigational	A10BG02
Troglitazone	EGR1_HUMAN	22.54750906	Stimulatory	CID5591	DB00197	withdrawn	A10BG01
Cobalt chloride (CoCl2)	TUFT1_HUMAN	1.83115024	Stimulatory	CID3032536			
Wortmannin	MK01_HUMAN	-130.15377648	Inhibitory	CID312145	DB08059	experimental	
Clozapine	NCBP2_HUMAN	-10.20180802	Inhibitory	CID2818	DB00363	approved	N05AH02
Thioridazine	RGDSR_HUMAN	-0.57433635	Inhibitory	CID5452	DB00679	approved	N05AC02
Haloperidol	SKIV2_HUMAN	-8.92680917	Inhibitory	CID3559	DB00502	approved	N05AD01
Chlorpromazine	MDR3_HUMAN	-9.98852199	Inhibitory	CID2726	DB00477	approved	
Trifluoperazine	ELP4_HUMAN	-2.36341875	Inhibitory	CID5566	DB00831	approved	N05AB06
Iloprost	TF_HUMAN	-14.69440053	Inhibitory	CID5311181			
COPPER SULFATE	HSP74_HUMAN	40.9966977	Stimulatory	CID24462			
Oxamic Acid	LDHB_HUMAN	-10.29521071	Inhibitory	CID974	DB03940	experimental	
W-13	INS_HUMAN	-14.17370407	Inhibitory	CID4299			
Arachidonic Acid	CEGT_HUMAN	2.7615025	Stimulatory	CID444899			
Oligomycin	ATPO_HUMAN	-6.77800397	Inhibitory	CID5281899			
Prochlorperazine	DRD2_HUMAN	-18.29197894	Inhibitory	CID4917	DB00433	approved	N05AB04
Quinpirole	SMS_HUMAN	-6.186288	Inhibitory	CID54562			
Deferoxamine	FRIL_HUMAN	-6.50246131	Inhibitory	CID2973	DB00746	approved|investigational	V03AC01
Calmidazolium chloride	RASH_HUMAN	-68.08881299	Inhibitory	CID644274			
Fluphenazine	JUN_HUMAN	144.87144945	Stimulatory	CID3372	DB00623	approved	N05AB02
Dopamine	RDH14_HUMAN	3.59141307	Stimulatory	CID681	DB00988	approved	C01CA04
Gefitinib	CCL5_HUMAN	28.8976898	Stimulatory	CID123631	DB00317	approved|investigational	L01XE02
Fisetin	GTR11_HUMAN	2.31222903	Stimulatory	CID5281614	DB07795	experimental	
Butein	MMP9_HUMAN	-32.47763193	Inhibitory	CID5281222			
3-Aminobenzamide	FOSB_HUMAN	-8.450208	Inhibitory	CID1645			
BUCLADESINE	ACE_HUMAN	2.97992	Stimulatory	CID9687			
Probucol	LRP8_HUMAN	5.85260604	Stimulatory	CID4912	DB01599	approved	C10AX02
Geldanamycin	RB_HUMAN	118.10696967	Stimulatory	CID3460			
resveratrol	EGF_HUMAN	-16.79820826	Inhibitory	CID445154	DB02709	experimental|investigational	
Nocodazole	INS_HUMAN	-14.17370407	Inhibitory	CID4122	DB08313	experimental	
Colchicine	FOSB_HUMAN	8.450208	Stimulatory	CID6167			
Benserazide	PRL_HUMAN	1.18459872	Stimulatory	CID2327			
Pentamidine	PRDM2_HUMAN	-3.88555652	Inhibitory	CID4735	DB00738	approved	P01CX01
Paclitaxel	CP19A_HUMAN	-16.23609381	Inhibitory	CID36314	DB01229	approved	L01CD01
Tioguanine	DDX41_HUMAN	3.147585	Stimulatory	CID2723601	DB00352	approved	L01BB03
Colforsin	NECA3_HUMAN	4.86229476	Stimulatory	CID47936	DB02587	experimental	
Rottlerin	PAXI_HUMAN	-72.43616846	Inhibitory	CID5281847			
Prazosin	KCNH7_HUMAN	-2.84968161	Inhibitory	CID4893	DB00457	approved	C02CA01
Y-27632	MYH14_HUMAN	-2.4165152	Inhibitory	CID448042	DB08756	experimental	
Carbamazepine	HDAC2_HUMAN	-83.97680266	Inhibitory	CID2554	DB00564	approved|investigational	N03AF01
Blebbistatin	MYH7_HUMAN	-1.05472729	Inhibitory	CID3476986			
Oxaprozin	PPARG_HUMAN	34.11536922	Stimulatory	CID4614	DB00991	approved	M01AE12
Ionomycin	ELOB_HUMAN	11.32897813	Stimulatory	CID3733			
Celastrol	IL2_HUMAN	-56.8489803	Inhibitory	CID122724			
Pararosaniline	AATF_HUMAN	-29.91883356	Inhibitory	CID11292			
Clotrimazole	NGLY1_HUMAN	-0.4056	Inhibitory	CID2812	DB00257	approved	A01AB18|G01AF02|D01AC01
Topiramate	SCN1A_HUMAN	-7.35882471	Inhibitory	CID5284627	DB00273	approved	N03AX11
Decitabine	GLUC_HUMAN	-8.24543631	Inhibitory	CID451668	DB01262	approved|investigational	
Vorinostat	HDAC6_HUMAN	-16.93903537	Inhibitory	CID5311	DB02546	approved|investigational	L01XX38
Demecolcine	RASK_HUMAN	-20.44865979	Inhibitory	CID2832			
Monensin	NAPSA_HUMAN	1.23496107	Stimulatory	CID28263			
3-Hydroxy-DL-kynurenine	KAT1_HUMAN	-5.74679602	Inhibitory	CID89			
Doxycycline	JUN_HUMAN	-144.87144945	Inhibitory	CID54671203	DB00254	approved|investigational	J01AA02|A01AB22
Yohimbine	DRD3_HUMAN	-21.7508625	Inhibitory	CID8969	DB01392	approved	G04BE04
Cytochalasin B	CEAM8_HUMAN	-2.16139975	Inhibitory	CID2919			
Minocycline	MRAP_HUMAN	-9.27080704	Inhibitory	CID54675783	DB01017	approved|investigational	J01AA08|A01AB23
Phentolamine	SPB6_HUMAN	5.90333213	Stimulatory	CID5775	DB00692	approved	C04AB01|V03AB36
MG-132	TRPS1_HUMAN	-1.19511707	Inhibitory	CID462382			
Procainamide	ACOD_HUMAN	-7.47089307	Inhibitory	CID4913	DB01035	approved	
Amoxicillin	S15A1_HUMAN	-5.99978273	Inhibitory	CID33613	DB01060	approved	J01CA04
Benfluorex	TNR6_HUMAN	-49.70161402	Inhibitory	CID2318			
Naftidrofuryl	INO1_HUMAN	2.53510868	Stimulatory	CID4417			
Clomifene	ZBT7A_HUMAN	0.8	Stimulatory	CID2800			
Zoxazolamine	TGM3_HUMAN	3.0804183	Stimulatory	CID6103			
Chlorprothixene [USAN:INN:BAN:JAN]	ACM3_HUMAN	-2.89326492	Inhibitory	CID667466	DB01239	approved|withdrawn	N05AF03
Cefalexin	S22A8_HUMAN	-0.512	Inhibitory	CID27447	DB00567	approved	J01DB01
Bepridil	TETN_HUMAN	4.37015048	Stimulatory	CID2351	DB01244	approved|withdrawn	C08EA02
Bezafibrate	ACOX1_HUMAN	16.9014654	Stimulatory	CID39042	DB01393	approved	C10AB02
Dequalinium Chloride	GRAB_HUMAN	15.63957056	Stimulatory	CID10649			
TACRINE	HRH3_HUMAN	-0.4310048	Inhibitory	CID1935	DB00382	withdrawn	N06AA18|N06DA01
Guanfacine	COLI_HUMAN	17.52627854	Stimulatory	CID3519	DB01018	approved|investigational	C02AC02
Ritodrine	NEU1_HUMAN	-3.94132033	Inhibitory	CID33572	DB00867	approved	G02CA01
Dextromethorphan	HD_HUMAN	-50.74767159	Inhibitory	CID3008			
Buspirone	JUN_HUMAN	-144.87144945	Inhibitory	CID2477	DB00490	approved|investigational	N05BE01
Ketoconazole	MSX2_HUMAN	-17.37197682	Inhibitory	CID456201			
Bisoprolol	EDN1_HUMAN	-11.72754588	Inhibitory	CID2405	DB00612	approved	C07AB07
Flupentixol	STA5A_HUMAN	-47.63654497	Inhibitory	CID17012			
Droperidol	DRD2_HUMAN	-18.29197894	Inhibitory	CID3168	DB00450	approved	N05AD08
Benzbromarone	ADIPO_HUMAN	6.36703181	Stimulatory	CID2333			
Fusidic Acid	ABCBB_HUMAN	-11.49495051	Inhibitory	CID3000226	DB02703	approved	D06AX01|S01AA13|D09AA02|J01XC01
Hesperidin	SCF_HUMAN	-17.4721127	Inhibitory	CID10621			
Testosterone	RHG04_HUMAN	15.69202294	Stimulatory	CID6013	DB00624	approved|investigational	G03EK01|G03BA02|G03BA03
Androsterone	ADRB2_HUMAN	14.8516408	Stimulatory	CID5879			
Domperidone	KCNH2_HUMAN	-13.8191394	Inhibitory	CID3151	DB01184	approved|investigational	A03FA03
Ouabain	RSSA_HUMAN	45.09334254	Stimulatory	CID439501	DB01092	approved	C01AC01
Arecoline	AHR_HUMAN	-23.37002271	Inhibitory	CID2230	DB04365	experimental	
ANISOMYCIN	MK09_HUMAN	40.17325796	Stimulatory	CID253602	DB07374	experimental	
Carcinine	DCHS_HUMAN	4.30468276	Stimulatory	CID2574			
Corticosterone	NQO1_HUMAN	17.08408729	Stimulatory	CID5753	DB04652	experimental	
Fusaric Acid	TRH_HUMAN	0.91809	Stimulatory	CID3442			
Calcium pantothenate	PANK1_HUMAN	-2.92612571	Inhibitory	CID8714			
LEVOTHYROXINE SODIUM	TRH_HUMAN	-0.91809	Inhibitory	CID5819	DB00451	approved	H03AA01
CARISOPRODOL AND ASPIRIN	BCL2_HUMAN	-94.67015348	Inhibitory	CID24847791			
Metrizamide	CD14_HUMAN	-42.48835517	Inhibitory	CID35734			
Cefotetan	ID1_HUMAN	-16.38928277	Inhibitory	CID53025	DB01330	approved	J01DC05
Apigenin	FAK1_HUMAN	-68.64272794	Inhibitory	CID5280443	DB07352	experimental	
Ginkgolide A	CP3A4_HUMAN	7.52023445	Stimulatory	CID115221			
Piperine	MK08_HUMAN	61.72328237	Stimulatory	CID638024			
Pepstatin	GLPB_HUMAN	-4.34804166	Inhibitory	CID5478883			
Cyclobenzaprine	5HT2A_HUMAN	-21.64094097	Inhibitory	CID2895	DB00924	approved	M03BX08
Myricetin	CP3A4_HUMAN	-7.52023445	Inhibitory	CID5281672	DB02375	experimental	
Brompheniramine	SCN3A_HUMAN	-1.12933333	Inhibitory	CID6834	DB00835	approved	R06AB01
Carteolol	ANF_HUMAN	5.67263702	Stimulatory	CID2583	DB00521	approved	C07AA15|S01ED05
Naringenin	TNFA_HUMAN	-19.63179288	Inhibitory	CID932			
Primaquine	FOS_HUMAN	36.11064078	Stimulatory	CID4908	DB01087	approved	P01BA03
Amantadine	FOSB_HUMAN	8.450208	Stimulatory	CID2130	DB00915	approved	N04BB01
Betulinic Acid	BPL1_HUMAN	2.91606597	Stimulatory	CID64971			
Chlorogenic Acid	CP3A4_HUMAN	7.52023445	Stimulatory	CID1794427			
Naltrexone	MLL3_HUMAN	-8.19518175	Inhibitory	CID5360515	DB00704	approved|investigational	N07BB04
Mefloquine	KCNQ1_HUMAN	-15.06152925	Inhibitory	CID4046	DB00358	approved	P01BC02
Astemizole	GRAB_HUMAN	-18.76748467	Inhibitory	CID2247	DB00637	approved|withdrawn	R06AX11
Ivermectin	SKIV2_HUMAN	-7.81095803	Inhibitory	CID3085416			
Diazoxide	ATIF1_HUMAN	-3.04811741	Inhibitory	CID3019	DB01119	approved	C02DA01|V03AH01
Disulfiram	LAT2_HUMAN	-3.14808029	Inhibitory	CID3117	DB00822	approved	P03AA04|N07BB01
Chlorphenamine	HRH1_HUMAN	-0.37860864	Inhibitory	CID2725	DB01114	approved	R06AB02|R06AB04
Clindamycin	SKIV2_HUMAN	-8.92680917	Inhibitory	CID2786			
Nicergoline	ADA1A_HUMAN	9.40182774	Stimulatory	CID34040	DB00699	approved	C04AE02
Aminophenazone	DECR_HUMAN	-1.3457672	Inhibitory	CID6009	DB01424	approved|withdrawn	N02BB03
Nomifensine	LMO3_HUMAN	-10.10098544	Inhibitory	CID4528	DB04821	withdrawn	N06AX04
Nalbuphine [INN:BAN]	OPRK_HUMAN	5.89778941	Stimulatory	CID5311304	DB00844	approved	N02AF02
Spironolactone	CCL2_HUMAN	-35.07237328	Inhibitory	CID5833	DB00421	approved	C03DA01
Terfenadine	RGDSR_HUMAN	-0.06563844	Inhibitory	CID5405	DB00342	withdrawn	R06AX12
NEOMYCIN	IL6_HUMAN	-60.94400105	Inhibitory	CID8378	DB00452	approved	S01AA07|D09AA01|R01AX08
Mianserin	NQO1_HUMAN	17.08408729	Stimulatory	CID4184	DB06148	approved	N06AX03
Dizocilpine	BDNF_HUMAN	-6.04291523	Inhibitory	CID1207			
Pirenzepine	PEPA5_HUMAN	-1.17802755	Inhibitory	CID4848	DB00670	approved	A02BX03
Cefotaxime	NAPSA_HUMAN	-1.23496107	Inhibitory	CID456256			
Thioproperazine	ADA1B_HUMAN	-6.40362263	Inhibitory	CID9429	DB01622	approved	N05AB08
Pindolol	ADRB2_HUMAN	14.8516408	Stimulatory	CID4828	DB00960	approved	C07AA17|C07AA03|C07AA14
Acenocoumarol	TMOD3_HUMAN	-2.28602304	Inhibitory	CID54676537	DB01418	approved	B01AA07
Triamcinolone	CALC_HUMAN	-4.70615538	Inhibitory	CID31307	DB00620	approved	D07AB09|A01AC01|R03BA06|C05AA12|H02AB08|R01AD11|D07XB02|S01BA05
Tetracycline	MMP3_HUMAN	-4.84633548	Inhibitory	CID54675776	DB00759	approved	S01AA02|S02AA08|A01AB13|J01AA09|A01AB21|D06AA02|S01AA09|D06AA04|J01AA07|J01AA03|S03AA02
Dihydroergotamine	5HT1B_HUMAN	11.60730433	Stimulatory	CID10531	DB00320	approved	N02CA01
Isoniazid	LYOX_HUMAN	-7.514945	Inhibitory	CID3767	DB00951	approved	J04AC01
Tranexamic Acid	INO1_HUMAN	-2.53510868	Inhibitory	CID5526	DB00302	approved	B02AA02
Midodrine	ADA1D_HUMAN	7.97191719	Stimulatory	CID4195	DB00211	approved	C01CA17
Ranitidine	MDR1_HUMAN	-15.92327197	Inhibitory	CID3001055	DB00863	approved	A02BA07|A02BA02
Piroxicam	EVG1_HUMAN	-0.29575	Inhibitory	CID54676228	DB00554	approved|investigational	M01AC01|M02AA07|S01BC06
Norfloxacin	CP3A5_HUMAN	-16.59820183	Inhibitory	CID4539	DB01059	approved	J01MA06|S01AE02
Etodolac	CP1A2_HUMAN	-18.50781706	Inhibitory	CID3308	DB00749	approved|investigational	M01AB08
Pentetrazol	RGAG4_HUMAN	1.024	Stimulatory	CID5917			
Levamisole	DYL1_HUMAN	-32.2162305	Inhibitory	CID26879	DB00848	withdrawn	P02CE01
Tiratricol	CAD11_HUMAN	-4.54730133	Inhibitory	CID5803	DB03604	experimental	
Pyrantel	GRAB_HUMAN	-13.68462424	Inhibitory	CID708857			
Antimycin A	DMPK_HUMAN	-12.59326838	Inhibitory	CID12550			
Chlorzoxazone	RGDSR_HUMAN	-0.6563844	Inhibitory	CID2733	DB00356	approved	M03BB03
Tranylcypromine	CP2A7_HUMAN	-11.65652789	Inhibitory	CID19493			
Pargyline	CNGA2_HUMAN	-2.90649703	Inhibitory	CID4688	DB01626	approved	C02KC01|C02LL01
Oxolinic acid	TRPV1_HUMAN	-2.71997377	Inhibitory	CID4628			
Fenspiride	PDE4A_HUMAN	-11.51952585	Inhibitory	CID3344			
Xylometazoline	ADA1A_HUMAN	9.40182774	Stimulatory	CID5709	DB06694	approved	R01AA07|R01AB06|S01GA03
Alverine	5HT1A_HUMAN	-14.59167362	Inhibitory	CID3678	DB01616	approved	A03AX08
Nimesulide	MSX2_HUMAN	-17.37197682	Inhibitory	CID4495	DB04743	withdrawn	M01AX17|M02AA26
Gemfibrozil	APOB_HUMAN	-11.06703583	Inhibitory	CID3463	DB01241	approved	C10AB04
Oxymetazoline	PTHY_HUMAN	-3.47174109	Inhibitory	CID4636	DB00935	approved	S01GA04|R01AB07|R01AA05
Ethosuximide	FKB1B_HUMAN	-0.3713775	Inhibitory	CID3291	DB00593	approved	N03AD01
Aztreonam	TNFA_HUMAN	19.63179288	Stimulatory	CID5742832			
Tolfenamic Acid	EGR1_HUMAN	22.54750906	Stimulatory	CID610479			
Mafenide	VATG1_HUMAN	-8.09361741	Inhibitory	CID3998			
Cloxacillin	ADSV_HUMAN	-0.89472774	Inhibitory	CID6098	DB01147	approved	
Pentoxifylline	JUN_HUMAN	-144.87144945	Inhibitory	CID4740	DB00806	approved|investigational	C04AD03
MECLOFENAMIC ACID	6PGD_HUMAN	38.1233643	Stimulatory	CID4037	DB00939	approved	M01AG04|M02AA18
Cimetidine	S10AE_HUMAN	-0.79007626	Inhibitory	CID2756	DB00501	approved	A02BA01
Troleandomycin	PRS27_HUMAN	-1.0422744	Inhibitory	CID17675			
Naphazoline	ADA1A_HUMAN	10.21273538	Stimulatory	CID4436	DB06711	approved	S01GA01|R01AA08|R01AB02
Sulpiride	DRD5_HUMAN	-4.65571627	Inhibitory	CID5355	DB00391	approved	N05AL01|N05AL07
Minaprine	DRD5_HUMAN	7.34629786	Stimulatory	CID4199	DB00805	approved	N06AX07
CINCHOCAINE	SCN5A_HUMAN	-11.59383467	Inhibitory	CID3025	DB00527	approved	S01HA06|D04AB02|N01BB06|C05AD04|S02DA04
AMILORIDE	IL8_HUMAN	-52.42526697	Inhibitory	CID16231	DB00594	approved	C03DB01
Levodopa	HCLS1_HUMAN	-10.80108225	Inhibitory	CID6047	DB01235	approved	N04BA01|N04BA04
Doxylamine	PK2L1_HUMAN	-4.75034829	Inhibitory	CID3162	DB00366	approved	R06AA09
Pyrimethamine	ADCY2_HUMAN	-3.38598663	Inhibitory	CID4993	DB00205	approved	P01BD01
Ticlopidine	CP2C9_HUMAN	-20.45425409	Inhibitory	CID5472	DB00208	approved	B01AC05
Oxybuprocaine	DX39B_HUMAN	-18.94119113	Inhibitory	CID4633	DB00892	approved	
Miconazole	MDR3_HUMAN	-9.98852199	Inhibitory	CID4189	DB01110	approved|investigational	S02AA13|J02AB01|G01AF04|D01AC02|A07AC01|A01AB09
Prednisone	PAR1_HUMAN	-19.47327454	Inhibitory	CID5865	DB00635	approved	A07EA03|H02AB15|H02AB07
Hexamethonium Bromide	DAP1_HUMAN	2.744	Stimulatory	CID5938			
Dicycloverine	GGPPS_HUMAN	-2.6266752	Inhibitory	CID3042	DB00804	approved	A03AA07
Hydrochlorothiazide	TPM3_HUMAN	-21.90211029	Inhibitory	CID3639	DB00999	approved	
Captopril	PSF3_HUMAN	-1.49531307	Inhibitory	CID44093	DB01197	approved	C09AA01
Phenazone	SKIV2_HUMAN	-8.92680917	Inhibitory	CID2206	DB01435	approved	S02DA03|N02BB01
Diflunisal	S22A6_HUMAN	-0.772245	Inhibitory	CID3059	DB00861	approved	N02BA11
Pheniramine	DHX8_HUMAN	-7.09587921	Inhibitory	CID4761	DB01620	approved	R06AB05
Acebutolol	BFAR_HUMAN	1.56816	Stimulatory	CID1978	DB01193	approved	C07AB04
Diphemanil metilsulfate	ACM3_HUMAN	-2.89326492	Inhibitory	CID6126	DB00729	approved|withdrawn	A03AB15
Minoxidil	IRK1_HUMAN	11.24324019	Stimulatory	CID4201	DB00350	approved	C02DC01|D11AX01
Niclosamide	RGDSR_HUMAN	-0.57433635	Inhibitory	CID4477	DB06803	approved	P02DA01
Lidocaine	SMC1A_HUMAN	-28.05488714	Inhibitory	CID3676	DB00281	approved	A01AD11|C05AD01|D04AB01|C01BB01|N01BB02|R02AD02|S01HA07|S02DA01
Tolazoline	ADA1A_HUMAN	-9.40182774	Inhibitory	CID5504	DB00797	approved	M02AX02|C04AB02
Tolnaftate	IL5_HUMAN	-40.50654919	Inhibitory	CID5510	DB00525	approved	D01AE18
Metronidazole	SCF_HUMAN	-17.4721127	Inhibitory	CID4173	DB00916	approved	G01AF01|D06BX01|P01AB01|A01AB17|J01XD01
Apomorphine	GPI8_HUMAN	9.74333742	Stimulatory	CID6005	DB00714	approved|investigational	
Naloxone	SO1A2_HUMAN	-11.46631683	Inhibitory	CID5284596	DB01183	approved	V03AB15
Bromocriptine	GRAB_HUMAN	-15.63957056	Inhibitory	CID31101	DB01200	approved|investigational	G02CB01|N04BC01
Glipizide	ABCC8_HUMAN	-5.93557029	Inhibitory	CID3478	DB01067	approved	A10BB07
Erythromycin	VCAM1_HUMAN	-30.52283373	Inhibitory	CID12560	DB00199	approved	J01FA01|S01AA17|D10AF02
Cotinine	HMGB1_HUMAN	27.75387939	Stimulatory	CID854019			
Zimeldine	MDR1_HUMAN	-15.92327197	Inhibitory	CID5365247			
Amoxapine	GGPPS_HUMAN	-2.6266752	Inhibitory	CID2170	DB00543	approved	N06AA17
Metolazone	CHP3_HUMAN	-4.17789937	Inhibitory	CID4170	DB00524	approved	C03BA08
Loxapine	IL2_HUMAN	-56.8489803	Inhibitory	CID3964	DB00408	approved	N05AH01
Dipyridamole	IKZF1_HUMAN	-12.77668516	Inhibitory	CID3108	DB00975	approved	B01AC07
Oleandomycin	MOTI_HUMAN	5.60804135	Stimulatory	CID19822			
Edrophonium chloride	FUT3_HUMAN	4.8902049	Stimulatory	CID8307			
Cyproheptadine	CRF_HUMAN	-3.14358018	Inhibitory	CID2913	DB00434	approved	R06AX02
Ciprofloxacin	SOS1_HUMAN	-39.66208889	Inhibitory	CID2764	DB00537	approved|investigational	J01MA02|S03AA07|S01AE03|S02AA15
Hydroxyzine	DHX8_HUMAN	-7.09587921	Inhibitory	CID3658	DB00557	approved	N05BB01
midecamycin A1	KLHL1_HUMAN	-1.39860035	Inhibitory	CID5282169			
Famotidine	HRH2_HUMAN	-1.82028384	Inhibitory	CID5702160			
Ampicillin	GPX1_HUMAN	1.31839583	Stimulatory	CID6249	DB00415	approved	J01CA01|J01CA02|J01CA15|J01CA14|S01AA19|J01CA06
Hesperetin	CP19A_HUMAN	-14.20658208	Inhibitory	CID72281	DB01094	approved	
Diltiazem	RGDSR_HUMAN	-0.6563844	Inhibitory	CID39186	DB00343	approved	C08DB01
